,query_1,query_2
2039,query: Что можно увидеть в истории трат и пополнений по карте?,query: Обязательна ли подача заявки на восстановление доступа к счету?
2040,"query: Какая ошибка может возникнуть, если уполномоченный сотрудник не подтвердит операцию?","query: Что включает в себя предварительное письменное разрешение органов опеки и попечительства, выдаваемое через МФЦ?"
2041,query: Какие полномочия имеет Финансовый управляющий в стадии реализации имущества банкрота?,query: Какие статусы можно установить для подопечного в разделе «Запрос документов»?
2042,query: Как можно узнать баланс по карте?,"query: Каковы действия, если сумма в разрешении ФУ превышает 50 000 рублей?"
2043,"query: Что необходимо для того, чтобы несовершеннолетний мог распоряжаться наличными деньгами?","query: Какие права есть у владельца счета, признанного банкротом во время реструктуризации?"
2044,query: Какой вопрос был задан ФУ?,"query: Что делать банкроту для получения денежных средств, если финансовый управляющий в другом территориальном банке?"
2045,"query: Что делать, если клиент не может оплачивать кредиты из-за потери работы?",query: Что делать после нажатия кнопки «Заменить документ»?
2046,"query: Какая ошибка возникает, если клиент отменяет операцию?","query: Какие последствия, если кредиторы подадут на банкротство во время внесудебного разбирательства?"
2047,query: Как законный представитель может просмотреть список желаний ребенка в МП СБОЛ?,query: По какому законодательству вкладчики могут подавать свои заявки в банк?
2048,query: Какие документы нужны для прикрепления приемного родителя к подопечному?,query: Что необходимо предоставить клиенту-банкроту для выполнения платежей в рамках реструктуризации долгов?
2049,"query: Какая ошибка возникает, если операция недоступна?",query: Что может делать Доверенное лицо клиента-банкрота во время процедуры банкротства?
2050,query: Какие документы нужны для прикрепления родителя к подопечному?,query: Как законному представителю перевыпустить Детскую СберКарту?
2051,query: Какую тематику выбирает сотрудник при регистрации обращения по возврату денежных средств банкрота?,query: Что подразумевается под комплаенсом в контексте уведомления в СБОЛ.Про?
2052,query: Какие причины могут стать основанием для обращения клиента по вопросу комплексного урегулирования?,query: Что подтверждает право банкрота на получение денег для покрытия расходов?
2053,query: Какие документы нужны для прикрепления опекуна к подопечному?,"query: Обслуживание банкрота возможно, если у суда нет заверенной печати?"
2054,query: С каким вопросом обратился ФУ?,query: Что требуется от клиента-банкрота для выполнения платежей по долговой реструктуризации?
2055,query: Какие способы пополнения карты ребенка доступны законному представителю?,query: Как внести детскую СберКарту в приложение СберKids?
2056,query: В чем заключается консультирование клиента по поводу ипотеки и ипотечных каникул?,query: В каких фазах процедуры банкротства разрешено подписывать страхование?
2057,query: Что нужно сделать для начала процесса продления полномочий владельца номинального счета?,query: Какую копию нужно удостоверить у нотариуса при платежах по Плану реструктуризации долгов?
2058,query: Какие возможности упоминаются в тексте?,query: Какие моменты важны при получении Детской СберКарты в офисе?
2059,query: Как сотрудники ВСП обрабатывают обращения клиентов по реструктуризации?,query: Каким образом передаются документы в СЦ Архив?
2060,query: Как выбрать документ удостоверяющий личность на экране 'Поиск клиента'?,query: Какой тип обращения нужно указать для регистрации запроса по военной пенсии в АС СберДруг?
2061,query: Что такое заявление-анкета?,query: Какие образцы документов использовать для запроса в Центр комплаенс касательно операций со счета?
2062,query: Какие документы нужны для прикрепления законного представителя к подопечному?,query: Куда законный представитель может внести средства?
2063,query: Какой лимит устанавливается на расходные операции по карте на месяц?,query: Какова периодичность вывоза исполнительных документов из ВСП согласно установленным требованиям?
2064,query: Какие роли могут формировать справки и выписки для ФУ в СБОЛ.про?,"query: Что нужно, чтобы выдать 50 000 рублей по копии разрешения ФУ?"
2065,query: Какое действие необходимо выполнить после осуществления операции?,query: Какой файл необходимо загрузить в архив при подтверждении сделки?
2066,query: Кто является законным представителем недееспособного клиента?,query: Что входит в полномочия Доверенного лица для банкрота?
2067,query: С какого числа ФУ будут обслуживаться в СБОЛ через ФП 'Представители и правопреемники'?,query: Ребенок может пользоваться детской СберКартой без установки СберKids?
2068,query: Что происходит при установлении ограничения на снятие наличных с карты в банкоматах для ребенка?,query: Где регистрируются обращения вкладчиков согласно ФЗ от 23.12.2003 N 177-ФЗ?
2069,query: Какие ограничения существуют на покупки в интернете по карте?,"query: Что делать, если ФУ и банкрот находятся в отделениях разных территориальных банков?"
2070,query: Какие документы требуются для прикрепления законного представителя к подопечному?,"query: Когда стоит предположить, что снятие средств со счета связано с обналичиванием?"
2071,"query: Что делать, если у клиента отсутствует ДУЛ?",query: Какие действия банк запрещен проводить для банкротов?
2072,query: С какого числа ФУ начинают обслуживаться в СБОЛ через ФП 'Представители и правопреемники'?,query: Как можно подтвердить операцию для клиентов?
2073,query: Что должно произойти после ввода суммы расходной операции в СБОЛ.Про при попытке снятия наличных?,query: Какие доступные статусы есть для бенефициара в разделе 'Запрос документов'?
2074,query: Какую информацию нужно уточнить о клиенте перед проведением идентификации?,"query: В каком порядке осуществляется выплата средств банкроту, если финансовый управляющий и банкрот обслуживаются в разных отделениях?"
2075,query: Какие документы нужны для прикрепления законного представителя к подопечному-недееспособному?,query: Когда стартует процесс выдачи Детской СберКарты для детей с украинским свидетельством о рождении?
2076,query: Что нужно сделать для разблокировки карточного счета перед выдачей наличных?,query: Что сейчас нельзя сделать в системе СБОЛ.про?
2077,"query: Что сделать, если клиент не идентифицирован?",query: Кому разрешено получить деньги наличными в данной ситуации?
2078,query: Можно ли заблокировать карту ребенка законным представителем?,"query: Как действовать в АС ""Сбердруг"" при наличии ареста на счете?"
2079,query: Кто может изменить ПИН-код по карте ребенка?,query: В каких ситуациях клиент с статусом банкрот получает возможность открыть новые счета или карты?
2080,query: Кто может быть ограничен судом в дееспособности в силу пристрастия?,"query: Какие условия должны быть соблюдены для расходной операции, если клиент пришел в другое отделение?"
2081,query: Какие операции доступны Финансовому управляющему после выбора банкрота в СБОЛ.про?,query: Какой бумажный документ назначает руководство социального учреждения?
2082,query: Что необходимо сделать после ввода суммы расходной операции в СБОЛ.Про?,query: При каких условиях документ с разрешением финансового управляющего на бумаги имеет законную силу?
2083,"query: Что делать, если есть подозрения в легализации доходов при расходной операции в СБОЛ.Про?",query: Каковы требования к ярлыку на ТЕ?
2084,query: Какой вопрос задается клиенту перед проведением финансовой операции?,query: Какие ограничения есть у клиента в процедуре банкротства на открытие счета для третьих лиц?
2085,query: Какой статус клиента подтвержден в системе?,query: Как с помощью QR-кода начать использовать МП СберKids для ребёнка?
2086,query: В каких случаях законный представитель может самостоятельно разблокировать карту ребенка?,query: Какие документы требуются для получения Детской СберКарты для ребенка-иностранца?
2087,query: Какой способ перевода денег доступен для получателя-физического лица?,query: Какой закон регулирует систему страхования вкладов в банках России?
2088,"query: Что происходит с плашками операций, если клиент недееспособен?","query: Что нужно сделать, чтобы получить средства, если в разрешении ФУ указано свыше 50 000 рублей?"
2089,query: Кто может совершать расходные операции по счетам ограниченно дееспособного с учетом его пристрастия?,"query: Какие шаги можно предпринять, если клиент не удовлетворен предложенными способами перевода?"
2090,query: Как можно погасить кредитную карту банкрота через снятие наличных?,query: Как изменится лимит карты после одного разрешения?
2091,query: Кто может инициировать перевыпуск карты ребенка?,query: Кто может оформить Номинальный счет для зачисления соцвыплат?
2092,query: Какие документы требуется предоставить для прикрепления законного представителя к подопечному?,query: Как изменить ПИН на детскую карту Сбер?
2093,"query: Почему клиент считает, что маркер был установлен неверно?",query: Какие требования для выполнения расходной операции на счёте?
2094,"query: Что должно произойти, если клиент намерен осуществить перевод со счета в СБОЛ.Про?",query: Когда клиент-банкрот имеет право управлять средствами на номинальном счете без согласия финуправляющего?
2095,query: Какие документы нужны для прикрепления законного представителя к подопечному?,query: Какие задачи стоят перед клиентом при подаче исполнительного документа в банк?
2096,query: Какая ситуация приводит к проведению операции без согласования с комплаенс?,"query: Что доступно для открытия в СБОЛ.Про, если клиент действует от имени другого лица?"
2097,query: Кто может выполнять операции по счетам другого клиента в случае банкротства?,"query: Что требуется предоставить, чтобы подтвердить происхождение денег на счете клиента?"
2098,query: В каких случаях законный представитель может инициировать закрытие карты?,query: Что необходимо иметь при себе для переоформления Детской СберКарты в банке?
2099,"query: Что делать, если на экране появляется сообщение о необходимости согласования операции с комплаенс?",query: Какие действия с дебетовой картой допустимы при аресте счета?
2100,query: Кто может обратиться для получения наследства в случае банкротства?,query: Что может указывать на возможное обналичивание средств при снятии со счета?
2101,query: Какое уведомление необходимо распечатать при отказе в проведении операции?,query: Какие термины могут быть в решении суда об окончании банкротства?
2102,query: Какое решение должен предъявить клиент для изменения статуса дееспособности?,query: Кто может быть назначен законным представителем недееспособных и ограниченно дееспособных клиентов?
2103,query: Кто может быть законным представителем ограниченно дееспособного клиента вследствие психического расстройства?,query: Какие действия следует выполнить после заполнения клиентом запроса?
2104,"query: Какие шаги нужно выполнить, чтобы отключить доступ к картам ребенка 14-17 лет у законного представителя?",query: Какие документы запрашивает сотрудник для актуализации информации?
2105,query: Что необходимо проверить перед проведением операции РВСП/ЗРВСП?,"query: Что должно быть проверено у законного представителя перед тем, как перевести деньги со счета ребенка?"
2106,query: Кто может обратиться для внесения денежных средств на счет клиента-банкрота?,query: Какой показатель следует выбрать при оформлении бумаг для ребенка?
2107,query: Какие документы нужны для распоряжения средствами ограниченно дееспособного клиента?,query: Какие лица могут получить информацию о вкладе?
2108,"query: Как определить, дееспособен ли клиент?",query: Какие функции временно не работают в СБОЛ.про?
2109,"query: Что делать, если законный представитель не видит молодежные карты своего ребенка 14-17 лет в системе?",query: Какое количество экземпляров ТН требуется при передаче ТЕ?
2110,query: Кто может обратиться для отмены ИД в связи с мобилизацией банкрота?,query: Какие справки требуются законному представителю для подтверждения полномочий?
2111,query: Требуется ли согласование операции с подразделением комплаенс при осуществлении перевода в СБОЛ.Про?,query: Какие валютные и металлургические операции доступны клиентам в разных стадиях банкротства?
2112,query: Какие средства может распоряжаться ограниченно дееспособный самостоятельно на своем счете?,query: В каких ситуациях банкроту не нужно согласие Финансового управляющего для доступа к деньгам со специального счета?
2113,query: Что нужно уточнить у клиента для скрытия карты?,"query: Какие действия требуют проверки при обращении в отделение, отличное от того, где была подана заявка на разблокировку?"
2114,query: Кто должен обратиться для получения денег со счета банкрота?,query: Кто может задать ПИН-код для Детской карты Сбербанка?
2115,query: Как можно создать связь с подопечным?,"query: Что нужно сделать, чтобы подключить СМС-Банк для получения уведомлений?"
2116,query: Необходимо ли согласование операции с комплаенс при переводе в СБОЛ.Про?,query: Какие действия разрешены банкроту по номинальному счету без согласия финуправляющего?
2117,query: Какие шаги нужно выполнить для заведения отложенного обращения по проблеме с детской картой?,query: Какие действия с банковскими картами недопустимы при аресте счета?
2118,query: Что нужно сделать при ошибке 'Сбой операции'?,"query: Как обрабатывается скан-образ исполнительного документа после того, как его зарегистрировали?"
2119,query: Какая категория клиентов представлена среди несовершеннолетних?,query: В каких ситуациях банкрот может использовать карту как специальный счет без разрешения финансового управляющего?
2120,query: Кто может совершать расходные операции по счетам ограниченно дееспособного в силу пристрастия?,query: Какие требования необходимо выполнить для расходной операции по счету?
2121,"query: Что делать, если клиент хочет снять маркер недееспособности или ограниченной дееспособности?",query: Когда доступна выдача детской карты с помощью планшета?
2122,"query: Что произойдет, если сумма операции составляет 10 миллионов рублей или больше?",query: Каким образом проходит частичное снятие средств с карты недееспособного человека?
2123,query: Для какой справки клиент обратился при введении процедуры внесудебного банкротства?,query: Какой лимит на распоряжение деньгами месячного дохода у банкрота без согласования с Финансовым управляющим?
2124,query: Какие индивидуальные лимиты необходимо проверить в профиле клиента-ребенка?,"query: Что делать, когда документы уже представлены?"
2125,query: Что происходит с ограничениями в банке после завершения процедуры внесудебного банкротства?,query: Какие действия допускаются для банкрота с индивидуальным сейфом в процессе взыскания имущества?
2126,query: Как начинается процедура судебного банкротства для гражданина?,"query: Каковы действия, если не хватает бенефициара при открытии номинального счёта?"
2127,query: Какие категории клиентов с ограниченной дееспособностью обслуживает Банк?,query: В каких ситуациях возможно открыть карту МИР для банкрота без разрешения Финансового управляющего?
2128,query: Кто может совершать операции по вкладам несовершеннолетнего в возрасте от 14 до 18 лет?,query: Что необходимо указать в постановлении арбитражного суда при прекращении процедуры банкротства?
2129,query: Какие поведенческие признаки у клиента могут указывать на возможные риски при проведении операции в ВСП?,"query: На что обратить внимание при выдаче Детской СберКарты, чтобы избежать проблем?"
2130,query: Как начинается процедура банкротства для гражданина?,query: Какие бумаги может выдать опекуну организация?
2131,query: Как начинается процедура банкротства гражданина и кто может подать заявление?,query: Что может быть прописано в решении суда об окончании процедуры банкротства?
2132,query: Какие признаки указывают на необходимость согласования валютно-обменной операции с подразделением комплаенс?,query: Что приостановлено на данный момент в СБОЛ.про для металлических счетов?
2133,query: Что такое молодежные карты для детей от 14 до 17 лет в системе МП СБОЛ?,"query: Что предпринимать, если у ребенка нет памяти на ПИН-код Детской СберКарты?"
2134,query: Какова цель памятки по работе с банкротами?,query: Как можно организовать коммуникацию между родителями и детьми в банке?
2135,query: Какие документы нужны для помещения несовершеннолетнего в государственную социальную организацию?,query: В каких ситуациях банкротия разрешается открытие карты МИР без одобрения Финансового управляющего?
2136,"query: Что должно быть сделано, если операция по покупке слитков драгметаллов согласована с подразделением комплаенс?","query: Что делать, чтобы подтвердить операцию в случае потребности?"
2137,query: Какие документы необходимы доверенному лицу банкрота для выполнения операции?,"query: Что нужно сделать, чтобы банкрот открыл новый счет или карту с разрешения финансового управляющего?"
2138,query: Что нужно сделать перед отключением отображения карт ребёнка в приложении родителя?,query: Какие детали стоит уточнить у клиента?
2139,query: Какие документы нужно запросить для клиента с статусом «Ограниченно дееспособный»?,query: Какие варианты карт могут получить банкроты в процессе реструктуризации долгов?
2140,query: Кто может совершать операции по продуктам несовершеннолетнего до 14 лет?,query: Какой вопрос задаёт банкрот при обращении?
2141,query: Что такое внесудебное банкротство и какие условия необходимо выполнить для его подачи?,query: В каких ситуациях можно открыть карту МИР без одобрения Финансового управляющего для участника СВО?
2142,query: Что разрешено Доверенному лицу клиента-банкрота во время Реструктуризации долгов?,query: Что значит клиент в СТОП-ЛИСТЕ по коду 4.05 в системе Сбол.Про?
2143,query: При каких условиях сотрудник может обслужить банкрота в банке?,"query: Что выбрать в случае, если клиент получил Постановление ФССП?"
2144,query: Что нужно сделать клиенту для согласования операции по переводу в СБОЛ.Про?,"query: Что делать сотруднику, когда клиент повторно задает вопросы о банкротстве?"
2145,query: Что такое процедура 'Реализация имущества' в рамках банкротства?,query: Кто может выступать в роли представителя ребенка при оформлении бумаг?
2146,query: Какие документы нужно запросить для категории 'Недееспособный'?,query: Что нужно запросить для получения справок и выписок со счета клиента в процессе банкротства?
2147,query: Что нужно уточнить клиенту перед осуществлением платежа наличными в пользу юридического лица или индивидуального предпринимателя?,query: Какие документы нужны для подачи заявки на Детскую СберКарту в офисе?
2148,query: Какие документы необходимы для помещения несовершеннолетнего в государственную социальную организацию?,"query: Как изменится ситуация со счетами и вкладами, если подтвердят, что клиент не банкрот?"
2149,"query: Какие документы нужны для проведения операции, если клиент является банкротом?",query: Что за операции выполняются на Номинальном счете для начисления соцвыплат?
2150,"query: Что нужно сделать, если получено разрешение на увеличение лимита по карте Спецсчета?",query: Что сейчас недоступно для операций с металлическими счетами в СБОЛ.про?
2151,query: Кто может быть представителем ребенка при оформлении документов?,query: Какие действия финансовое учреждение ограничивает из-за банкротства согласно документации?
2152,query: Какие документы клиент должен предоставить для подтверждения источника поступления денежных средств?,query: Какой статус имеет клиент в СТОП-ЛИСТЕ с кодом 4.05?
2153,query: Кто может запросить выписку по счету или вкладу?,query: Когда происходит автоматическое прекращение связи между законным представителем и несовершеннолетним клиентом?
2154,query: Как клиент может проверить статус разблокировки своего счета?,query: Что за распоряжение запускает процесс П892 по работе с исполнительными документами?
2155,query: Что банкрот должен сделать для списания денежных средств выше прожиточного минимума?,query: Какие ограничения существуют для клиента в процессе банкротства согласно 127 ФЗ РФ?
2156,query: Какие операции требуют предварительного письменного разрешения органа опеки и попечительства для недееспособного?,"query: Что нужно указать на свидетельстве о рождении Украины, чтобы его приняли для оформления карты?"
2157,query: Какие документы необходимы для представителей приемного родителя ребенка от 14 до 18 лет?,query: Какой закон governs предъявление исполнительных документов к банку?
2158,query: Кто может получить выписку по счету или вкладу?,query: Какие правила действуют в ПАО Сбербанк при исполнении исполнительных документов о наложении ареста на средства?
2159,"query: Что нужно сделать, если клиент банкрот хочет выполнить расход свыше 50 000 рублей?",query: Нужна ли мне анкета на возобновление блокировки счета?
2160,"query: Что отображается на экране в Сбол.Про, если клиент находится на дополнительном контроле банка?",query: Когда можно оформить Детскую СберКарту по свидетельству о рождении из Украины?
2161,query: Что нужно выбрать на экране 'Запрос документов' перед запросом документов для подопечного?,"query: Как правильно осуществить операцию, если нет оснований полагать, что вмешивались третьи лица?"
2162,query: Какие сообщения могут отображаться на экране в Сбол.Про?,query: Где происходит выплата наследства при банкротстве клиента на этапе 'реализации имущества'?
2163,query: Что происходит со счетом при разблокировке банковских карт?,query: Какой тип обращения подавать в АС СберДруг по вопросам военной пенсии?
2164,"query: Что нужно сделать, если у клиента нет доступа к Сбербанк Онлайн для проведения расходной операции?","query: Какой документ не потребуется, если я выбираю ребенка для получения карты?"
2165,query: Какие документы должен предоставить банкрот для выполнения платежей по Плану реструктуризации долгов?,query: Что именно приостановлено в работе с металлическими счетами в СБОЛ.про?
2166,query: Кто может быть законным представителем ограниченно дееспособного в силу пристрастия?,query: Как закрыть детскую карту в системе МП СБОЛ?
2167,query: Что необходимо прикрепить к обращению вместе с СНИЛС клиента?,query: Что необходимо предпринять клиенту-банкроту для закрытия задолженности по кредиту?
2168,query: Какую информацию необходимо проверить у ФУ перед выдачей средств по разрешению?,"query: Как изменяются полномочия законного представителя после того, как клиент становится совершеннолетним?"
2169,query: Что включает в себя учредительная документация для государственного социального учреждения?,query: Что может быть написано в определении арбитражного суда о завершении процедуры банкротства?
2170,query: Что нужно предложить клиенту в случае отказа заполнить Запрос предоставления информации?,query: С какой причиной клиент пришел закрыть счет?
2171,query: Какие документы необходимо запросить у клиента-банкрота перед выполнением расхода денежных средств?,query: Кто обозначен как должник в памятке о приеме исполнительных документов?
2172,"query: Что может свидетельствовать о том, что клиентам помогают третьи лица при оформлении банковских карт?",query: Что должно быть указано в определении арбитражного суда при завершении или остановке банкротства?
2173,query: Какие лица могут получать выписку по счету ограниченно дееспособного?,query: Как сохраняется скан при внесении изменений в документ?
2174,query: Разрешено ли проводить операцию по выпуску карты согласно ПЦП ЦК/ПК МБ решению?,query: В какой момент начинается начисление бонусов СберСпасибо?
2175,query: Что следует сообщить клиенту при отказе в оформлении выпуска карты?,query: Что мешает владельцу счёта получить доступ к номинальному счёту после смерти бенефициара?
2176,query: Каким образом проверяются заявители на предмет банкротства в банке?,query: Где закроет Детскую СберКарту опекун?
2177,query: Что нужно выбрать в шаблоне заявки для завершения процедуры банкротства?,query: Какие выводы принимает арбитражный суд по итогам завершения или прекращения банкротства?
2178,query: Что включает в себя учредительные документы государственного социального учреждения?,query: Как ребенку посмотреть баланс своих бонусов на Детской СберКарту?
2179,query: Что необходимо сделать для снятия всех ограничений и проведения платежей по Плану реструктуризации долгов?,query: Какое решение арбитража требуется для снятия всех запретов?
2180,query: Что позволяет делать доверенность ФУ для клиентов в стадии Реализация имущества?,query: Какие шаги следует предпринять после получения судебного решения о дееспособности клиента?
2181,"query: Что может сигнализировать о рисках, если несовершеннолетние самостоятельно обращаются за картами?",query: Какие шаги предпринять при банкротстве клиента с реструктуризацией долгов?
2182,query: Какое разрешение должен предоставить финансовый управляющий для снятия ареста со счета банкрота?,query: Что сейчас приостановлено в СБОЛ.про?
2183,"query: Что требуется для осуществления расходных операций, влекущих уменьшение имущества ограниченно дееспособного?",query: Какой лимит на обмен денег без разрешения финансового управляющего при долговой реструктуризации?
2184,query: Что должно быть сверено при обслуживании финансового управляющего?,"query: Реально ли получить карту для ребенка, если свидетельство о рождении иностранное?"
2185,"query: Что необходимо сделать, если сумма в разрешении ФУ превышает 50 000 рублей?",query: Когда в процессе банкротства разрешается выплата наследства лишь при согласовании с финансовым управляющим?
2186,query: Как получить справку по счету недееспособного клиента?,query: Что требуется приложить к заявке на разблокировку счета в АС 'Сбердруг'?
2187,"query: Нужно ли согласовывать выпуск или перевыпуск карты с ПЦП Центра комплаенс, если клиент не проявляет интерес к процедурам по ПОД/ФТ?",query: Что не требуется для оформления новой карты банкротом для спецсчета?
